iter	Logloss
0	0.6910426777
1	0.6888660428
2	0.6873438032
3	0.6852017039
4	0.6826037463
5	0.6806358518
6	0.6794161845
7	0.6775267055
8	0.675404705
9	0.6740030192
10	0.6721733522
11	0.6698213755
12	0.6674320417
13	0.6659182693
14	0.6640781436
15	0.6632589856
16	0.6609472649
17	0.6588157851
18	0.6571028601
19	0.6554997491
20	0.6534144967
21	0.6520784942
22	0.6502679971
23	0.6490743679
24	0.6474237873
25	0.6463178208
26	0.6452488357
27	0.6438816282
28	0.6420322316
29	0.6399724717
30	0.6382850941
31	0.6360901428
32	0.6344782829
33	0.6324727466
34	0.630833105
35	0.6293571353
36	0.6279792595
37	0.6255971864
38	0.6233017354
39	0.6217604283
40	0.620160378
41	0.6184233656
42	0.6164589488
43	0.6141944565
44	0.6127111286
45	0.6112308093
46	0.6100041889
47	0.6083756866
48	0.6066543003
49	0.60469202
50	0.6028654595
51	0.6012422555
52	0.599817442
53	0.5982537813
54	0.5963459471
55	0.5953074039
56	0.5935072539
57	0.5918508077
58	0.5900617737
59	0.5886912596
60	0.5871359429
61	0.5855579818
62	0.5844158531
63	0.583194762
64	0.5819816801
65	0.5804304166
66	0.5787495232
67	0.5775982434
68	0.5762485543
69	0.5748912853
70	0.5737837347
71	0.5721462944
72	0.5705365997
73	0.5690231921
74	0.5682208258
75	0.5664640671
76	0.5658625379
77	0.5645527702
78	0.5633411869
79	0.5620188842
80	0.5609915077
81	0.5590663503
82	0.5583690022
83	0.5571420676
84	0.5559940237
85	0.555007463
86	0.5533013645
87	0.5518301421
88	0.5508820168
89	0.549861993
90	0.5485431945
91	0.5478697597
92	0.546558228
93	0.545432804
94	0.544284924
95	0.5429179537
96	0.5418843805
97	0.5407605453
98	0.5396267935
99	0.5379000162
100	0.5364803423
101	0.5349323128
102	0.5333007313
103	0.5317134258
104	0.5300832429
105	0.5285113855
106	0.5279032165
107	0.5271150706
108	0.5259501642
109	0.5247415299
110	0.5239660071
111	0.5223757414
112	0.5211569966
113	0.5203773672
114	0.5195528712
115	0.5183805969
116	0.5177126741
117	0.5163681315
118	0.5154165368
119	0.5145484986
120	0.5132222989
121	0.5119646536
122	0.5112659876
123	0.5099441446
124	0.5088381484
125	0.5075142115
126	0.5060262616
127	0.5050170111
128	0.5038128701
129	0.502090739
130	0.5006681802
131	0.4993007655
132	0.4980411517
133	0.4968239754
134	0.4958721875
135	0.4944919261
136	0.493440196
137	0.4924442861
138	0.4907017549
139	0.489557424
140	0.4881706539
141	0.4867156536
142	0.4857995896
143	0.4845194712
144	0.483787389
145	0.482250612
146	0.4809661396
147	0.4800197651
148	0.4787174277
149	0.477559986
150	0.4769357843
151	0.4757411784
152	0.4747978097
153	0.4738243789
154	0.4727202829
155	0.4718615701
156	0.4707314284
157	0.4696410816
158	0.4686757002
159	0.4676191282
160	0.4668047649
161	0.4654717131
162	0.4645466586
163	0.4632002381
164	0.4621245523
165	0.4610991662
166	0.4597570276
167	0.45856446
168	0.4575835922
169	0.457215387
170	0.4560546855
171	0.4551794477
172	0.4542693872
173	0.4536594766
174	0.4526386559
175	0.4521608745
176	0.4510551299
177	0.4498967698
178	0.449067819
179	0.4484143382
180	0.447758785
181	0.446745606
182	0.445624155
183	0.4446838809
184	0.4438981719
185	0.4429811479
186	0.4418984843
187	0.4406208308
188	0.4395888711
189	0.4387412408
190	0.4376730821
191	0.4364378546
192	0.4352830223
193	0.4347990177
194	0.4336262921
195	0.4328560018
196	0.4321884328
197	0.4310690727
198	0.430130082
199	0.4288656123
200	0.4279604862
201	0.4269647148
202	0.4260876918
203	0.4252240694
204	0.4244538735
205	0.4235985662
206	0.4226945338
207	0.4218038435
208	0.4207440843
209	0.4199687355
210	0.4192926894
211	0.4183986369
212	0.4175995257
213	0.4162452901
214	0.4154173862
215	0.4143120723
216	0.4134377947
217	0.4123238904
218	0.4114790416
219	0.4105583301
220	0.4095740263
221	0.4088417708
222	0.4084903265
223	0.4076499133
224	0.40672792
225	0.4059740317
226	0.4053886429
227	0.4045506263
228	0.4037005671
229	0.4029054941
230	0.4019858306
231	0.4012461435
232	0.400387324
233	0.3996256421
234	0.3988164484
235	0.3979502937
236	0.3970536689
237	0.3959239363
238	0.3949793281
239	0.3936462645
240	0.3926420028
241	0.391914915
